year,make,model,variant,Body Type,No. of Seats,Build Date,Compliance Date,VIN,Registration No,Registration State,Registration Expiry Date,No. of Plates,No. of Cylinders,Engine Capacity,Fuel Type,Transmission,Indicated Odometer Reading,Odometer Measurement,Exterior Colour,Interior Colour,Key,Spare Key,Owners Manual,Service History,Engine Turns Over,Location,date,bids,price,url
2012,Holden,Captiva,5 (FWD) CG II Automatic Wagon,Wagon,5,2012-05,?,KL3DA26UJCB037861,1WK9MI,VIC,18-08-2025,2,4,2.4,Petrol,Automatic,178715,kilometre,White,Grey,Yes,Yes,No,No,Yes,VIC,2025-03-12,,0,https://www.grays.com/lot/0001-21045005/motor-vehicles-motor-cycles/2012-holden-captiva-5-fwd-cg-ii-automatic-wagon
2022,Kia,Sportage,SX AWD NQ5 Turbo Diesel Automatic - 8 Speed Wagon,Wagon,5,2022-04,?,KNAPU81CSN7069971,?,?,?,2,4,2,Diesel,Automatic - 8 Speed,71491,kilometre,White,Grey,Yes,Yes,Yes,Yes,Yes,QLD,2025-04-14,76.0,0,https://www.grays.com/lot/0001-50711654/motor-vehicles-motor-cycles/2022-kia-sportage-sx-awd-nq5-turbo-diesel-automatic-8-speed-wagon
2017,Toyota,Landcruiser,Prado GXL (4x4) GDJ150R T/Diesel Auto 7 Seats Wagon,Wagon,7,2017-09,2017-10,JTEBR3FJ80K071107,FNY48H,NSW,?,?,4,2.8,Diesel,Automatic,138942,kilometre,White,Black,Yes,No,Yes,No,Yes,NSW,2025-03-25,309.0,0,https://www.grays.com/lot/0001-10347811/motor-vehicles-motor-cycles/2017-toyota-landcruiser-prado-gxl-4x4-gdj150r-t-diesel-auto-7-seats-wagon
2006,Hyundai,Getz,1.6 TB Manual Hatchback,Hatchback,1,2006-10,?,KMHBT31BR7U160165,?,?,?,?,4,1.6,Petrol,Manual,00,kilometre,Black,Black,Yes,No,No,Partial,Yes,QLD,2025-04-02,28.0,0,https://www.grays.com/lot/0001-50514574/motor-vehicles-motor-cycles/2006-hyundai-getz-1-6-tb-manual-hatchback
2024,GWM,Haval,H6 Premium Auto,SUV,5,2024-3,2024-8,LGWEF6A58RH946757,NO PLATES,?,?,?,4,1998,Petrol,Sports Automatic,22988,kilometre,White,?,Yes,?,Yes,Yes,?,?,2025-04-15,159.0,0,https://www.grays.com/lot/0001-21047325/motor-vehicles-motor-cycles/2024-gwm-haval-h6-premium-auto
2013,Holden,Trax,LS TJ Automatic Wagon,Wagon,5,2013-11,2014-01,KL3BA7659EB594923,DL36CL,NSW,?,0,4,1.8,Petrol,Automatic,87019,kilometre,Blue,Black,Yes,Yes,Yes,Yes,Yes,NSW,2025-03-23,47.0,0,https://www.grays.com/lot/0001-10910554/motor-vehicles-motor-cycles/2013-holden-trax-ls-tj-automatic-wagon
2015,Mazda,BT-50,4X4 XTR Turbo Diesel Automatic Dual Cab,Dual Cab,5,2015-02,2015-03,MM0UP0YF100414557,DAB22J,NSW,?,0,5,3.2,Diesel,Automatic,239196,kilometre,Silver,Grey,Yes,Yes,Yes,Yes,Yes,NSW,2025-04-13,,0,https://www.grays.com/lot/0001-10910768/motor-vehicles-motor-cycles/2015-mazda-bt-50-4x4-xtr-turbo-diesel-automatic-dual-cab
2015,Toyota,Landcruiser,Workmate (4x4) VDJ79R T/D Manual Crew Cab Chassis,Cab Chassis,5,2015 - 04,2015 - 05,JTEBV71J204008471,?,?,?,?,8,4.5,Diesel,Manual,183175,kilometre,Tan,Multi,Yes,Yes,No,No,Yes,SA,2025-04-02,209.0,0,https://www.grays.com/lot/0001-60047550/motor-vehicles-motor-cycles/2015-toyota-landcruiser-workmate-4x4-vdj79r-t-d-manual-crew-cab-chassis
2016,Mitsubishi,Outlander,"LS AWD SAFETY PACK ZK T/D Auto 7 Seats 90,198kms",Wagon,7,2016-12,2016-12,JMFXLGF6WHZ000532,No plates,NSW,?,?,4,2.3,Diesel,Automatic,90198,kilometre,White,Black,Yes,Yes,Yes,Yes,Yes,NSW,2025-03-26,104.0,0,https://www.grays.com/lot/0001-10347891/motor-vehicles-motor-cycles/2016-mitsubishi-outlander-ls-awd-safety-pack-zk-t-d-automatic-7-seats-wagon
0,Volkswagen,Amarok,TDi420 Highline 2H Turbo Diesel Automatic,Dual Cab,5,?,2014-08,WV1ZZZ2HZEA041888,?,?,?,0,4,2,Diesel,Automatic - 8 Speed,326993,kilometre,White,Black,Yes,Yes,No,No,Yes,QLD,2025-04-13,68.0,0,https://www.grays.com/lot/0001-50711640/motor-vehicles-motor-cycles/volkswagen-amarok-tdi420-highline-2h-turbo-diesel-automatic
