Referred_URL,Sold_URL
https://www.grays.com/lot/0001-10347840/motor-vehicles-motor-cycles/2013-mercedes-benz-ml350-bluetec-w166-turbo-diesel-automatic-wagon,
https://www.grays.com/lot/0001-10910412/motor-vehicles-motor-cycles/2011-hyundai-i30-sx-fd-automatic-hatchback,
https://www.grays.com/lot/0001-10347697/motor-vehicles-motor-cycles/2011-mercedes-benz-c63-amg-c204-automatic-coupe,
https://www.grays.com/lot/0001-60047641/motor-vehicles-motor-cycles/2017-hyundai-accent-sport-rb-manual-hatchback,
https://www.grays.com/lot/0001-10910743/motor-vehicles-motor-cycles/2017-isuzu-mu-x-4x4-ls-u-turbo-diesel-automatic-7-seats-wagon,
https://www.grays.com/lot/0001-10910548/motor-vehicles-motor-cycles/2015-ford-ecosport-trend-bk-manual-wagon,
https://www.grays.com/lot/0001-21046272/motor-vehicles-motor-cycles/2018-subaru-outback-2-5i-premium-b6a-cvt-rwc-issued-17-03-2025,
https://www.grays.com/lot/0001-50514304/motor-vehicles-motor-cycles/2012-holden-colorado-4x4-ltz-rg-turbo-diesel-manual-dual-cab,
https://www.grays.com/lot/0001-10348254/motor-vehicles-motor-cycles/2016-ford-ranger-xl-3-2-4x4-px-ii-turbo-diesel-automatic-cab-chassis,
https://www.grays.com/lot/0001-50711487/motor-vehicles-motor-cycles/2005-mazda-tribute-limited-sport-automatic-wagon,
https://www.grays.com/lot/0001-50514738/motor-vehicles-motor-cycles/2015-isuzu-d-max-4x2-sx-turbo-diesel-manual-cab-chassis,
https://www.grays.com/lot/0001-10910853/motor-vehicles-motor-cycles/2008-toyota-yaris-yrs-ncp93r-manual-sedan,
https://www.grays.com/lot/0001-50711642/motor-vehicles-motor-cycles/2013-subaru-tribeca-3-6r-premium-b9-automatic-7-seats-wagon,
https://www.grays.com/lot/0001-10347841/motor-vehicles-motor-cycles/2010-toyota-hilux-sr5-4x4-kun26r-turbo-diesel-automatic-dual-cab,
https://www.grays.com/lot/0001-21047044/motor-vehicles-motor-cycles/2017-toyota-c-hr-fwd-ngx10r-manual-wagon,
https://www.grays.com/lot/0001-50514632/motor-vehicles-motor-cycles/2011-mitsubishi-outlander-ls-fwd-zh-cvt-wagon,
https://www.grays.com/lot/0001-10910537/motor-vehicles-motor-cycles/2013-renault-megane-gt-line-cvt-wagon,
https://www.grays.com/lot/0001-60047697/motor-vehicles-motor-cycles/2013-subaru-xv-2-0i-l-g4x-cvt-hatchback,
https://www.grays.com/lot/0001-21045739/motor-vehicles-motor-cycles/2012-bmw-x5-xdrive-40d-sport-e70-lci-turbo-diesel-automatic-8-speed-wagon,
https://www.grays.com/lot/0001-21045432/motor-vehicles-motor-cycles/2010-audi-q7-3-0-tdi-quattro-turbo-diesel-automatic-8-speed-7-seats-wagon,
